id,name,price,category,description,imageUrl
product-69,Gaz klapn TARELLO orginal,7.0,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-70,Gayka 10,0.1,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-71,Gayka 27 kislarod,1.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-72,Gayka 32 (1.0 Metrli),0.1,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-73,Gayka 6 / Reduktor gayka Propan,0.1,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-74,Gayka 8 ichki rezba,0.08,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-75,Gayka 8 tashki rezba,0.2,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-76,Gayka Yevro,0.08,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-77,Gayka reduktor ok,0.1,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-78,Germetika avtosil (100 sht),0.53,Kimyoviy vositalar,Yuqori sifatli ehtiyot qism,
product-79,Gofas minikit 16 talik xitoy,30.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-80,Gofast prostoy xitoy,28.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-81,Gofra AutoGaz,0.3,Aksessuarlar,Yuqori sifatli ehtiyot qism,
product-82,Datchik 4 metan,2.4,Elektronika,Yuqori sifatli ehtiyot qism,
product-83,Datchik 4 pokoleniya kora,2.4,Elektronika,Yuqori sifatli ehtiyot qism,
product-84,Datchik 4 pokoleniya simli,2.4,Elektronika,Yuqori sifatli ehtiyot qism,
product-85,Datchik prostoy,1.7,Elektronika,Yuqori sifatli ehtiyot qism,
product-86,Datchik simli,2.4,Elektronika,Yuqori sifatli ehtiyot qism,
product-87,Datchik Troynik,1.0,Elektronika,Yuqori sifatli ehtiyot qism,
product-88,Dozator gazel,2.0,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-89,Dozator damas,0.9,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-90,Dozator laseti,2.0,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-91,Dozator neksiya,0.9,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-92,Dozator spark,0.9,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-93,Yevro barashka,1.2,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-94,Yevro zapravochniy Avtogaz,5.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-95,Yevro zapravochniy Kukon,4.1,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-96,Yevro klapn,0.3,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-97,Yevro kulakcha,0.2,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-98,Yevro probka,0.5,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-99,Yevro uk,0.3,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-100,YevropaGaz Avanse 32/4,100.0,Komplektlar,Yuqori sifatli ehtiyot qism,
... (barcha 446 ta mahsulot shu yerda)
product-446,Shtutser layda latun,0.1,Ulagichlar,Yuqori sifatli ehtiyot qism,
